Mes,Año,Empresa,Tarifa,Abonados,Ventas,"Ingreso sin CVG","Ingreso con CVG","Precio Medio sin CVG","Precio Medio con CVG",Trimestre,Sistema,Trimestral
"Enero     ",2023,COOPELESCA,Residencial,96676,16546025.62,1390819973,1379978457,84.06,83.4,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPESANTOS,Residencial,46595,6805815,613660393,594127119,90.17,87.3,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ESPH,Residencial,81635,20538168,1659051264,1525024412,80.78,74.25,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ICE,Residencial,759647,146313538,13321176596,11705415976,91.05,80,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,JASEC,Residencial,90525,21835538,1358273616,1376153180,62.2,63.02,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,"TOTAL NACIONAL",Residencial,1674676,356609311,30516286418,27701588691,85.57,77.68,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,CNFL,"Residencial horaria",7466,3781586,294247523,267834200,77.81,70.83,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,"TOTAL NACIONAL","Residencial horaria",7466,3781586,294247523,267834200,77.81,70.83,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,"Usuarios Directos","Usuarios Directos",16,38890362,1419362663,1412228640,36.5,36.31,"I Trimestre",Generacion,"2023 1"
"Enero     ",2023,CNFL,"Ventas a ICE distribución y a la CNFL",0,281936735,13630153322.02,13488013776.24,48.34,47.84,"I Trimestre",Generacion,"2023 1"
"Enero     ",2023,ICE,"Ventas a ICE distribución y a la CNFL",0,405805740.8,19269951667.34,19069079829.23,47.49,46.99,"I Trimestre",Generacion,"2023 1"
"Enero     ",2023,"TOTAL NACIONAL","Ventas a ICE distribución y a la CNFL",0,687742475.8,32900104989.36,32557093605.47,47.84,47.34,"I Trimestre",Generacion,"2023 1"
"Enero     ",2023,COOPEALFARORUIZ,"Ventas al servicio de Distribución",0,1966757,94936177.25,93910223.88,48.27,47.75,"I Trimestre",Generacion,"2023 1"
"Enero     ",2023,COOPEGUANACASTE,"Ventas al servicio de Distribución",0,19905830,957066221.72,947137067.7,48.08,47.58,"I Trimestre",Generacion,"2023 1"
"Enero     ",2023,COOPELESCA,"Ventas al servicio de Distribución",0,13265123,537083389.46,542760640.46,40.49,40.92,"I Trimestre",Generacion,"2023 1"
"Enero     ",2023,COOPESANTOS,"Ventas al servicio de Distribución",0,4966242,261424171.57,258444752.49,52.64,52.04,"I Trimestre",Generacion,"2023 1"
"Enero     ",2023,ESPH,"Ventas al servicio de Distribución",0,29252808,1446092756.82,1431076882.59,49.43,48.92,"I Trimestre",Generacion,"2023 1"
"Enero     ",2023,JASEC,"Ventas al servicio de Distribución",0,48650415,2302672832.05,2278769011.54,47.33,46.84,"I Trimestre",Generacion,"2023 1"
"Enero     ",2023,"TOTAL NACIONAL","Ventas al servicio de Distribución",0,118007175,5599275548.87,5552098578.66,47.45,47.05,"I Trimestre",Generacion,"2023 1"
