idHistoricoTarifas,"Tipo Vehículo","Tipo Revisión","Fecha Rige Tarifa","Tarifa Mínima ¢","Tarifa Máxima ¢","Número Resolución","Fecha Publicación",Expediente
38,"Taxis (reinspección)",Reinnspección,10-05-2018,7230,7230," RIT-029-2017",05-05-2017," ET-006-2017"
39,"Buses (bus, buseta, microbús) (reinspección)",Reinnspección,10-05-2018,8825,8825," RIT-029-2017",05-05-2017," ET-006-2017"
40,"Motocicletas (reinspección)",Reinnspección,10-05-2018,4415,4415," RIT-029-2017",05-05-2017," ET-006-2017"
41,"Equip especial(grúas, maq. de obra) (reinspección)",Reinnspección,10-05-2018,8825,8825," RIT-029-2017",05-05-2017," ET-006-2017"
42,"Equipo especial(maq. agrícola) (reinspección)",Reinnspección,10-05-2018,4065,4065," RIT-029-2017",05-05-2017," ET-006-2017"
15,"Vehículo peso menor 3,5 ton (inspección)",Inspección,10-11-2017,12160,12160," RIT-029-2017",05-05-2017," ET-006-2017"
16,"Vehículo peso mayor 3,5 ton (inspección)",Inspección,10-11-2017,16015,16015," RIT-029-2017",05-05-2017," ET-006-2017"
17,"Taxis (inspección)",Inspección,10-11-2017,13125,13125," RIT-029-2017",05-05-2017," ET-006-2017"
18,"Buses (bus, buseta, microbús) (inspección)",Inspección,10-11-2017,16015,16015," RIT-029-2017",05-05-2017," ET-006-2017"
19,"Motocicletas (inspección)",Inspección,10-11-2017,8010,8010," RIT-029-2017",05-05-2017," ET-006-2017"
20,"Equipo especial (grúas, maq. de obra)(inspección)",Inspección,10-11-2017,16015,16015," RIT-029-2017",05-05-2017," ET-006-2017"
21,"Equipo especial (maq. agrícola) (inspección)",Inspección,10-11-2017,7375,7375," RIT-029-2017",05-05-2017," ET-006-2017"
22,"Vehículo peso menor 3,5 ton (reinspección)",Reinnspección,10-11-2017,6080,6080," RIT-029-2017",05-05-2017," ET-006-2017"
23,"Vehículo peso mayor 3,5 ton (reinspección)",Reinnspección,10-11-2017,8007.5,8007.5," RIT-029-2017",05-05-2017," ET-006-2017"
24,"Taxis (reinspección)",Reinnspección,10-11-2017,6562.5,6562.5," RIT-029-2017",05-05-2017," ET-006-2017"
25,"Buses (bus, buseta, microbús) (reinspección)",Reinnspección,10-11-2017,8007.5,8007.5," RIT-029-2017",05-05-2017," ET-006-2017"
26,"Motocicletas (reinspección)",Reinnspección,10-11-2017,4005,4005," RIT-029-2017",05-05-2017," ET-006-2017"
27,"Equip especial(grúas, maq. de obra) (reinspección)",Reinnspección,10-11-2017,8007.5,8007.5," RIT-029-2017",05-05-2017," ET-006-2017"
28,"Equipo especial(maq. agrícola) (reinspección)",Reinnspección,10-11-2017,3687.5,3687.5," RIT-029-2017",05-05-2017," ET-006-2017"
1,"Vehículo peso menor 3,5 ton (inspección)",Inspección,10-05-2017,10920,10920," RIT-029-2017",05-05-2017," ET-006-2017"
2,"Vehículo peso mayor 3,5 ton (inspección)",Inspección,10-05-2017,14830,14830," RIT-029-2017",05-05-2017," ET-006-2017"
3,"Taxis (inspección)",Inspección,10-05-2017,11785,11785," RIT-029-2017",05-05-2017," ET-006-2017"
4,"Buses (bus, buseta, microbús) (inspección)",Inspección,10-05-2017,14380,14380," RIT-029-2017",05-05-2017," ET-006-2017"
5,"Motocicletas (inspección)",Inspección,10-05-2017,7195,7195," RIT-029-2017",05-05-2017," ET-006-2017"
6,"Equipo especial (grúas, maq. de obra)(inspección)",Inspección,10-05-2017,14380,14380," RIT-029-2017",05-05-2017," ET-006-2017"
7,"Equipo especial (maq. agrícola) (inspección)",Inspección,10-05-2017,6625,6625," RIT-029-2017",05-05-2017," ET-006-2017"
8,"Vehículo peso menor 3,5 ton (reinspección)",Reinnspección,10-05-2017,5460,5460," RIT-029-2017",05-05-2017," ET-006-2017"
9,"Vehículo peso mayor 3,5 ton (reinspección)",Reinnspección,10-05-2017,7415,7415," RIT-029-2017",05-05-2017," ET-006-2017"
10,"Taxis (reinspección)",Reinnspección,10-05-2017,5892.5,5892.5," RIT-029-2017",05-05-2017," ET-006-2017"
11,"Buses (bus, buseta, microbús) (reinspección)",Reinnspección,10-05-2017,7190,7190," RIT-029-2017",05-05-2017," ET-006-2017"
12,"Motocicletas (reinspección)",Reinnspección,10-05-2017,3597.5,3597.5," RIT-029-2017",05-05-2017," ET-006-2017"
13,"Equip especial(grúas, maq. de obra) (reinspección)",Reinnspección,10-05-2017,7190,7190," RIT-029-2017",05-05-2017," ET-006-2017"
14,"Equipo especial(maq. agrícola) (reinspección)",Reinnspección,10-05-2017,3312.5,3312.5," RIT-029-2017",05-05-2017," ET-006-2017"
